,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_내차피해(가격)
80,쌍용 티볼리 1.6 가솔린 2WD LX 고급형,차량번호 34무0878,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180263&gubun=K,2015.10,"138,405 km",가솔린,"1,597 cc (126마력)",진청색,만료,799만원,35,0,0,0,1,0,1,0,1,0,0,등록,3,0,0,0,0,1,"710,180",4,"4,518,373"
81,현대 그랜저HG 300  익스클루시브,차량번호 24도0215,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180250&gubun=K,2013.03,"131,412 km",가솔린,"2,999 cc (270마력)",흰색,만료,870만원,24,,,,,,,,,,,등록,5,0,0,0,0,5,"8,781,913",3,"3,510,132"
82,현대 뉴 에쿠스 3.8 VS380 프레스티지 VVIP팩,차량번호 38러1465,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180337&gubun=K,2011.06 (12년형),"181,135 km",가솔린,"3,778 cc (334마력)",검정색,만료,"1,080만원",10,1,0,0,1,1,1,1,1,0,1,등록,3,0,0,0,0,4,"17,238,532",3,"6,749,470"
83,기아 K7 프리미어 2.5 노블레스,차량번호 332머6458,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180338&gubun=K,2019.11 (20년형),"37,637 km",가솔린,"2,497 cc (198마력)",검정색,"60개월 / 100,000km","2,499만원",74,0,0,1,1,1,1,0,1,0,1,등록,4,0,0,0,0,1,"531,189",1,0
84,쉐보레 트레일블레이저 1.3 터보 2WD  액티브,차량번호 103고7956,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2174660&gubun=K,2020.04 (21년형),"52,554 km",가솔린,"1,341 cc (156마력)",흰색,"60개월 / 100,000km","1,780만원",70,,,,,,,,,,,등록,2,0,0,0,0,1,"1,062,059",0,0
85,기아 그랜드 카니발 R 2.2 디젤 GLX 고급형,차량번호 75거7583,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2148620&gubun=K,2011.10,"162,469 km",디젤,"2,199 cc (197마력)",흰색,만료,580만원,준비중,1,0,1,0,0,1,0,0,0,0,등록,4,0,0,0,0,4,"2,188,864",2,"2,262,410"
86,르노삼성 SM6 2.0 LPe SE,차량번호 176부6104,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2173365&gubun=K,2018.10 (19년형),"92,576 km",LPG,"1,998 cc (140마력)",흰색,"60개월 / 100,000km","1,150만원",46,1,1,1,1,1,1,1,1,0,1,등록,2,0,0,0,0,1,"2,127,120",0,0
87,현대 그랜저HG 300 LPi 모던,차량번호 42다8782,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2153033&gubun=K,2013.09 (14년형),"206,406 km",LPG,"2,999 cc (235마력)",진회색,만료,630만원,준비중,0,0,1,0,0,1,0,1,0,0,등록,2,0,0,0,0,0,0,1,"4,152,000"
88,쌍용 체어맨H 2.8 500S 최고급형,차량번호 50조7348,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159021&gubun=K,2011.01,"54,426 km",가솔린,"2,799 cc (197마력)",검정색,만료,380만원,9,,,,,,,,,,,등록,0,0,0,0,0,4,"2,589,976",0,0
89,기아 올 뉴 K7 2.2 디젤 프레스티지,차량번호 331루6624,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163828&gubun=K,2016.09,"133,386 km",디젤,"2,199 cc (202마력)",흰색,정보없음,"1,299만원",39,1,1,1,1,1,1,0,1,0,1,등록,1,0,0,0,0,2,"1,605,196",0,0
90,기아 모닝 어반 1.0 스탠다드,차량번호 103러3525,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2166991&gubun=K,2020.09 (21년형),"2,644 km",가솔린,998 cc (76마력),회색,"60개월 / 100,000km",799만원,66,,,,,,,,,,,등록,0,0,0,0,0,1,"2,167,373",2,"1,386,103"
91,기아 더 뉴 K7 3.0 LPi  럭셔리,차량번호 33나2449,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2167158&gubun=K,2013.07,"188,110 km",LPG,"2,999 cc (235마력)",흰색,정보없음,799만원,준비중,,,,,,,,,,,등록,3,0,0,0,0,2,"4,050,496",2,"5,401,128"
92,현대 올 뉴 투싼 2.0 디젤 4WD 모던,차량번호 232오7871,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2170527&gubun=K,2018.10,"55,906 km",디젤,"1,995 cc (186마력)",은색,정보없음,"1,599만원",58,,,,,,,,,,,등록,,,,,,,,,
93,제네시스 G70 2.0 터보 슈프림,차량번호 04거2326,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2171525&gubun=K,2018.04,"162,673 km",가솔린,"1,998 cc (252마력)",진회색,"60개월 / 100,000km","1,870만원",47,0,0,1,1,1,1,1,1,0,1,등록,1,1,0,0,0,3,"30,853,323",0,0
94,기아 K3 1.6 럭셔리,차량번호 124두7222,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2171876&gubun=K,2015.03,"73,322 km",가솔린,"1,591 cc (140마력)",흰색,만료,599만원,34,1,0,0,0,0,1,0,1,0,0,등록,6,0,0,0,0,2,"6,730,310",1,"356,160"
95,기아 K5 2세대 2.0 SX 디럭스,차량번호 156주9152,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2171925&gubun=K,2015.09 (16년형),"117,719 km",가솔린,"1,999 cc (168마력)",진청색,만료,830만원,36,,,,,,,,,,,등록,3,0,0,0,0,2,"7,678,390",4,"5,028,511"
96,기아 올 뉴 모닝 1.0 디럭스 스페셜,차량번호 33고8860,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2172805&gubun=K,2013.01,"96,038 km",가솔린,998 cc (82마력),진회색,만료,299만원,28,,,,,,,,,,,등록,3,0,0,0,0,2,"8,599,507",3,"1,806,521"
97,기아 올 뉴 쏘렌토 2.2 디젤 4WD 노블레스 스페셜,차량번호 20가1091,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2173214&gubun=K,2014.11,"152,684 km",디젤,"2,199 cc (202마력)",흰색,만료,"1,450만원",40,0,0,0,1,1,1,0,1,1,1,등록,,,,,,,,,
98,기아 스포티지 4세대 2.0 디젤 2WD 프레스티지,차량번호 29소0699,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2173395&gubun=K,2016.08,"51,772 km",디젤,"1,995 cc (186마력)",흰색,만료,"1,250만원",49,0,0,1,0,0,1,0,1,0,0,등록,5,0,0,0,0,5,"12,265,100",1,"1,516,002"
99,기아 더 뉴 K5 2.0 LPi  럭셔리,차량번호 180서1923,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2173507&gubun=K,2018.11 (19년형),"82,443 km",LPG,"1,999 cc (151마력)",흰색,"60개월 / 100,000km","1,199만원",62,0,0,1,0,0,1,0,1,0,1,등록,3,0,0,0,0,0,0,0,0
100,기아 더 뉴 K9  3.8 AWD 베스트 셀렉션 I,차량번호 188도5602,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2174096&gubun=K,2022.04,"3,570 km",가솔린,"3,778 cc (315마력)",흰색,"60개월 / 120,000km","5,999만원",94,1,0,1,1,1,1,1,1,1,1,등록,0,0,0,0,0,1,0,0,0
101,기아 더 뉴 카니발 2.2 디젤 9인승 프레스티지,차량번호 254구7068,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2174098&gubun=K,2019.09,"30,662 km",디젤,"2,199 cc (202마력)",흰색,"60개월 / 100,000km","2,299만원",66,0,0,1,1,1,1,0,1,0,1,등록,0,0,0,0,0,1,"9,003,168",0,0
102,기아 더 뉴 레이 1.0 프레스티지,차량번호 169서8464,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2174269&gubun=K,2020.02,"17,235 km",가솔린,998 cc (76마력),검정색,"60개월 / 100,000km","1,170만원",79,0,0,1,1,0,1,0,1,0,1,등록,1,1,0,0,0,2,"12,301,950",2,"4,679,607"
103,기아 스포티지 더 볼드 2.0 디젤 2WD 노블레스,차량번호 236너5299,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2174273&gubun=K,2019.01,"30,003 km",디젤,"1,995 cc (186마력)",흰색,"60개월 / 100,000km","1,880만원",67,0,0,1,1,1,1,0,1,0,1,등록,3,0,0,0,0,2,"11,820,750",0,0
104,현대 올 뉴 아반떼 1.6 LPi 스타일,차량번호 238조9992,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2175950&gubun=K,2020.05 (21년형),"16,383 km",LPG,"1,591 cc (120마력)",흰색,"60개월 / 100,000km","1,799만원",99,0,0,0,0,0,1,0,1,0,0,등록,3,0,0,0,0,0,0,0,0
105,기아 올 뉴 K3 1.6 럭셔리,차량번호 139모7205,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2176948&gubun=K,2018.07 (19년형),"70,530 km",가솔린,"1,598 cc (123마력)",흰색,"60개월 / 100,000km","1,070만원",59,0,0,1,0,0,1,0,1,0,1,등록,3,0,0,0,0,1,"12,048,740",0,0
106,르노삼성 XM3 1.6  LE,차량번호 297더5635,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178016&gubun=K,2021.04,"44,846 km",가솔린,"1,598 cc (123마력)",흰색,"60개월 / 100,000km","1,750만원",90,,,,,,,,,,,등록,1,0,0,0,0,1,"627,969",2,"1,095,829"
107,쌍용 뷰티풀 코란도 1.6 디젤 2WD 판타스틱,차량번호 55다8545,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177280&gubun=K,2019.03,"44,319 km",디젤,"1,597 cc (136마력)",흰색,"60개월 / 100,000km","1,930만원",68,1,0,1,1,1,1,0,1,0,1,등록,0,0,0,0,0,1,"992,800",0,0
108,현대 그랜저HG 300 LPi 모던,차량번호 129너7860,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177404&gubun=K,2015.08 (16년형),"94,665 km",LPG,"2,999 cc (235마력)",흰색,만료,"1,130만원",준비중,0,1,1,1,0,1,0,1,0,1,등록,6,0,0,0,0,3,"5,264,098",0,0
109,기아 더 뉴 모하비 3.0 디젤 4WD 프레지던트,차량번호 40라6147,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177802&gubun=K,2017.08 (18년형),"63,088 km",디젤,"2,959 cc (260마력)",진회색,만료,"2,550만원",53,,,,,,,,,,,등록,4,0,0,0,0,4,"8,118,540",2,"4,298,570"
110,르노삼성 QM6 2.0 가솔린 2WD  RE,차량번호 317모6307,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177806&gubun=K,2017.10 (18년형),"42,976 km",가솔린,"1,997 cc (144마력)",진회색,"60개월 / 100,000km","1,450만원",50,0,0,0,1,0,1,0,1,0,1,등록,5,1,0,0,0,1,"21,000,000",2,"2,173,210"
111,기아 더 뉴 K3  1.6 프레스티지,차량번호 100도9633,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177978&gubun=K,2021.09 (22년형),"4,161 km",가솔린,"1,598 cc (123마력)",진회색,"60개월 / 100,000km","1,799만원",91,,,,,,,,,,,등록,2,0,0,0,0,1,"16,550,000",1,"23,130,000"
112,현대 그랜저HG 300  노블,차량번호 41두1325,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178396&gubun=K,2011.01,"157,441 km",가솔린,"2,999 cc (270마력)",은색,만료,650만원,18,1,1,1,1,0,0,0,0,0,1,등록,4,0,0,0,0,3,"8,718,326",2,"999,578"
113,기아 올 뉴 쏘렌토 2.2 디젤 4WD 노블레스 스페셜,차량번호 47누2896,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178488&gubun=K,2014.09 (15년형),"102,816 km",디젤,"2,199 cc (202마력)",검정색,만료,"1,670만원",46,0,0,1,1,1,1,0,1,1,1,등록,2,0,0,0,0,0,0,2,"1,406,760"
114,현대 올 뉴 투싼 2.0 디젤 4WD 스타일,차량번호 22모0932,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178647&gubun=K,2016.03,"39,599 km",디젤,"1,995 cc (186마력)",진회색,만료,"1,499만원",57,0,0,1,0,0,1,0,1,0,1,등록,2,0,0,0,0,6,"3,646,714",3,"1,078,647"
115,르노삼성 QM3 1.5 디젤 LE,차량번호 11주5010,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178663&gubun=K,2015.04,"80,159 km",디젤,"1,461 cc (90마력)",검정색,"132개월 / 220,000km",670만원,28,,,,,,,,,,,등록,,,,,,,,,
116,현대 LF쏘나타 2.0 스타일,차량번호 04누2171,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179431&gubun=K,2014.09 (15년형),"213,094 km",가솔린,"1,999 cc (168마력)",흰색,만료,550만원,24,0,0,0,0,0,1,0,1,0,0,등록,6,0,0,0,0,2,"2,899,106",0,0
117,기아 올 뉴 쏘렌토 2.2 디젤 2WD 노블레스 스페셜,차량번호 26거9785,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179415&gubun=K,2015.09 (16년형),"102,523 km",디젤,"2,199 cc (202마력)",진회색,만료,"1,699만원",50,0,0,1,1,1,1,0,1,1,1,등록,2,0,0,0,0,0,0,0,0
118,기아 스팅어  3.3 터보 AWD GT   ,차량번호 153보6936,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177582&gubun=K,2018.04,"140,149 km",가솔린,"3,342 cc (370마력)",진회색,불가,"2,490만원",48,1,0,1,1,1,1,1,1,1,1,미등록,,,,,,,,,
119,현대 더 뉴 그랜드스타렉스 2.5 디젤 밴 3인승  스타일,차량번호 86너3624,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182987&gubun=K,2018.07 (19년형),"118,924 km",디젤,"2,497 cc (175마력)",흰색,정보없음,"1,560만원",67,,,,,,,,,,,등록,1,0,0,0,0,0,0,3,"2,171,370"
120,현대 더 뉴 그랜드스타렉스 2.5 디젤 밴 3인승  스타일,차량번호 86너3624,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182987&gubun=K,2018.07 (19년형),"118,924 km",디젤,"2,497 cc (175마력)",흰색,정보없음,"1,560만원",67,,,,,,,,,,,등록,1,0,0,0,0,0,0,3,"2,171,370"
121,기아 더 K9 3.8  플래티넘Ⅱ,차량번호 63보1391,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182897&gubun=K,2018.11 (19년형),"69,093 km",가솔린,"3,778 cc (315마력)",검정색,"60개월 / 120,000km","3,399만원",58,0,0,1,1,1,1,1,1,1,1,등록,1,0,0,0,0,0,0,0,0
122,쌍용 G4 렉스턴 2.2 디젤 4WD 5인승  럭셔리,차량번호 61도4651,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182906&gubun=K,2017.09 (18년형),"79,120 km",디젤,"2,157 cc (187마력)",청색,정보없음,"1,799만원",50,,,,,,,,,,,등록,3,0,0,0,0,1,"1,636,160",2,"3,000,410"
123,현대 쏘나타 2.0  인스퍼레이션,차량번호 367우7796,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182908&gubun=K,2020.01,"31,984 km",가솔린,"1,999 cc (160마력)",검정색,"60개월 / 100,000km","2,649만원",80,1,1,0,0,0,0,0,0,0,0,등록,,,,,,,,,
124,제네시스 G90 1세대 3.8 AWD  럭셔리,차량번호 14로5253,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182367&gubun=K,2019.07,"53,621 km",가솔린,"3,778 cc (315마력)",검정색,정보없음,"5,480만원",준비중,1,0,0,0,0,0,0,0,0,0,등록,,,,,,,,,
125,기아 모하비 3.0 디젤 4WD  QV300 최고급형,차량번호 34우7065,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182379&gubun=K,2014.02,"97,472 km",디젤,"2,959 cc (260마력)",흰색,만료,"1,499만원",준비중,,,,,,,,,,,등록,0,0,0,0,0,0,0,0,0
126,기아 올 뉴 K7 하이브리드 2.4 HEV  노블레스,차량번호 56소6457,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182493&gubun=K,2017.03,"73,449 km",가솔린 하이브리드,"2,359 cc (199마력)",검정색,만료,"2,500만원",62,,,,,,,,,,,등록,1,0,0,0,0,1,"656,909",0,0
127,기아 더 뉴 카니발 2.2 디젤 9인승  노블레스,차량번호 277오7005,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182500&gubun=K,2019.06,"48,135 km",디젤,"2,199 cc (202마력)",검정색,"60개월 / 100,000km","2,900만원",75,1,1,1,1,1,1,0,1,0,1,등록,2,0,0,0,0,2,"1,788,680",0,0
128,현대 팰리세이드 3.8 가솔린 2WD  익스클루시브,차량번호 360러6868,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182382&gubun=K,2019.05,"46,241 km",가솔린,"3,778 cc (295마력)",진회색,"60개월 / 100,000km","3,370만원",96,0,0,1,0,1,1,0,1,0,1,등록,2,0,0,0,0,0,0,0,0
129,기아 더 뉴 모하비 3.0 디젤 AWD  프레지던트,차량번호 64고6614,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182378&gubun=K,2016.04 (17년형),"83,511 km",디젤,"2,959 cc (260마력)",검정색,만료,"2,449만원",52,,,,,,,,,,,등록,3,0,0,0,0,0,0,0,0
130,제네시스 GV80 3.0 디젤 AWD  7인승,차량번호 346로9953,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182364&gubun=K,2020.09,"48,424 km",디젤,"2,996 cc (278마력)",검정색,정보없음,"6,820만원",97,,,,,,,,,,,등록,1,0,0,0,0,1,"1,354,397",1,"778,009"
131,현대 더 뉴 그랜저 2.5 프리미엄 초이스,차량번호 175저6920,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182374&gubun=K,2020.10 (21년형),"40,270 km",가솔린,"2,497 cc (198마력)",흰색,정보없음,"2,859만원",84,1,1,0,0,0,0,0,0,0,0,등록,1,0,0,0,0,1,"3,271,699",0,0
132,제네시스 EQ900 3.8  럭셔리,차량번호 52마2835,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182369&gubun=K,2017.04 (18년형),"53,370 km",가솔린,"3,778 cc (315마력)",검정색,만료,"2,999만원",40,,,,,,,,,,,등록,2,0,0,0,0,4,"4,370,802",1,"535,138"
133,제네시스 GV80 2.5 터보 AWD  7인승,차량번호 139나2204,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182363&gubun=K,2020.09,"29,098 km",가솔린,"2,497 cc (304마력)",흰색,"60개월 / 100,000km","6,700만원",110,1,0,1,1,1,1,1,1,0,1,등록,1,0,0,0,0,1,"2,289,650",0,0
134,현대 더 뉴 그랜저 2.5  익스클루시브,차량번호 179모8129,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182371&gubun=K,2021.01 (20년형),"27,937 km",가솔린,"2,497 cc (198마력)",청색,정보없음,"3,220만원",87,,,,,,,,,,,등록,0,0,0,0,0,0,0,0,0
135,현대 그랜저IG 3.0 LPi   익스클루시브,차량번호 170고8028,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182356&gubun=K,2016.12 (17년형),"56,340 km",LPG,"2,999 cc (235마력)",흰색,만료,"2,290만원",68,1,1,0,0,0,0,0,0,0,0,등록,4,0,0,0,0,1,"457,330",0,0
136,제네시스 GV80 3.0 디젤 AWD  5인승,차량번호 319너8471,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182365&gubun=K,2020.03,"39,382 km",디젤,"2,996 cc (278마력)",회색,정보없음,"7,230만원",104,1,1,0,0,0,0,0,0,0,0,등록,2,0,0,0,0,1,"499,700",1,"490,000"
137,기아 K7 프리미어 2.5  노블레스,차량번호 321소9741,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2166511&gubun=K,2019.09 (20년형),"18,246 km",가솔린,"2,497 cc (198마력)",흰색,"60개월 / 100,000km","2,950만원",87,0,0,1,1,1,1,0,1,0,1,등록,1,0,0,0,0,0,0,0,0
138,현대 쏘나타 뉴 라이즈 2.0 프리미엄 스페셜,차량번호 398조8328,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2168584&gubun=K,2017.07 (18년형),"70,646 km",가솔린,"1,999 cc (163마력)",검정색,만료,"1,690만원",56,0,0,1,1,1,1,0,1,0,1,등록,2,0,0,0,0,0,0,0,0
139,현대 팰리세이드 2.2 디젤 2WD  프레스티지,차량번호 319모2269,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182381&gubun=K,2020.03,"43,960 km",디젤,"2,199 cc (202마력)",청색,"60개월 / 100,000km","3,795만원",90,,,,,,,,,,,등록,1,0,0,0,0,0,0,0,0
140,기아 스팅어 2.0 터보 AWD  플래티넘,차량번호 34조3517,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182220&gubun=K,2019.01,"61,080 km",가솔린,"1,998 cc (255마력)",검정색,정보없음,"2,299만원",57,1,0,0,0,0,0,0,0,0,0,등록,3,1,0,0,0,1,"29,430,000",1,"6,776,000"
141,현대 더 뉴 맥스크루즈 2.2 디젤 2WD  익스클루시브,차량번호 19버8792,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182380&gubun=K,2016.05 (17년형),"47,705 km",디젤,"2,199 cc (202마력)",흰색,만료,"1,999만원",58,0,0,0,1,1,1,0,1,0,1,등록,2,0,0,0,0,0,0,0,0
142,기아 올 뉴 쏘렌토 2.0 디젤 2WD  노블레스,차량번호 35루0525,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182501&gubun=K,2015.11 (16년형),"61,515 km",디젤,"1,995 cc (186마력)",흰색,만료,"1,890만원",60,1,1,0,1,1,1,0,1,1,0,등록,1,0,0,0,0,2,"1,003,591",1,"568,830"
143,쌍용 렉스턴 스포츠 2.2 디젤 4WD  노블레스,차량번호 85서4092,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182907&gubun=K,2018.05,"71,679 km",디젤,"2,157 cc (181마력)",검정색,정보없음,"2,070만원",63,,,,,,,,,,,등록,,,,,,,,,
144,현대 그랜저IG 2.4  프리미엄 스페셜,차량번호 163너1243,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181927&gubun=K,2017.01,"51,673 km",가솔린,"2,359 cc (190마력)",흰색,만료,"2,450만원",72,1,1,0,1,0,0,0,0,0,1,등록,3,0,0,0,0,1,"552,970",0,0
145,현대 더 뉴 그랜저 2.5 프리미엄 초이스,차량번호 313조6707,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181901&gubun=K,2020.04,"26,344 km",가솔린,"2,497 cc (198마력)",검정색,정보없음,"2,960만원",87,,,,,,,,,,,등록,1,0,0,0,0,0,0,0,0
146,현대 그랜저IG 하이브리드 2.4 HEV  프리미엄,차량번호 280나2035,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181940&gubun=K,2019.04,"72,369 km",가솔린 하이브리드,"2,359 cc (199마력)",검정색,"60개월 / 100,000km","2,350만원",63,0,0,1,1,1,1,0,1,0,1,등록,2,0,0,0,0,0,0,0,0
147,제네시스 G70 3.3 터보 AWD  스포츠 프레스티지,차량번호 175모9685,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181445&gubun=K,2019.09,"46,901 km",가솔린,"3,342 cc (370마력)",진회색,"60개월 / 100,000km","3,780만원",69,0,0,1,1,1,1,1,1,1,1,등록,3,0,0,0,0,1,"845,079",0,0
148,제네시스 G80 3.3 럭셔리,차량번호 53어0358,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180939&gubun=K,2016.11 (17년형),"33,248 km",가솔린,"3,342 cc (282마력)",검정색,만료,"2,850만원",59,,,,,,,,,,,등록,2,0,0,0,0,0,0,1,"287,289"
149,제네시스 더 올 뉴 G80 2.5 터보 AWD,차량번호 241어4791,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180932&gubun=K,2020.09 (21년형),"57,840 km",가솔린,"2,497 cc (304마력)",흰색,"60개월 / 100,000km","5,550만원",100,1,1,1,1,1,1,0,1,0,1,등록,1,0,0,0,0,2,"1,749,833",1,"838,348"
150,현대 싼타페TM 2.0 디젤 2WD  프레스티지,차량번호 41서6820,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180727&gubun=K,2018.07 (19년형),"56,860 km",디젤,"1,995 cc (186마력)",검정색,"60개월 / 100,000km","2,799만원",79,1,1,1,1,1,1,1,1,0,1,등록,1,0,0,0,0,2,"1,363,228",1,"575,899"
151,기아 K7 프리미어 하이브리드 2.4 HEV  노블레스,차량번호 146고8085,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180718&gubun=K,2020.04,"29,247 km",가솔린 하이브리드,"2,359 cc (199마력)",검정색,"60개월 / 100,000km","3,390만원",85,0,0,1,1,1,1,0,1,0,1,등록,1,0,0,0,0,1,"390,120",0,0
152,기아 더 뉴 카니발 2.2 디젤 9인승 노블레스 스페셜,차량번호 147다4118,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180672&gubun=K,2018.08 (19년형),"47,814 km",디젤,"2,199 cc (202마력)",검정색,"60개월 / 100,000km","2,999만원",76,0,0,1,1,1,1,1,1,1,1,등록,2,0,0,0,0,2,"428,426",0,0
153,기아 더 뉴 카니발 2.2 디젤 7인승 리무진 프레지던트,차량번호 31저9168,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180577&gubun=K,2018.05 (19년형),"69,506 km",가솔린,"2,199 cc (202마력)",검정색,"60개월 / 100,000km","2,680만원",65,1,0,1,0,1,1,0,1,1,1,등록,1,1,0,0,0,4,"16,363,621",2,"8,444,640"
